"","COVID.19.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Pneumonia..Influenza..or.COVID.19.Deaths","Influenza.Deaths"
"451",73,177,25,235,10
"452",7210,5983,2766,10572,154
"453",3684,3243,1579,5427,85
"454",575,530,264,861,20
"455",471,440,220,706,15
"456",875,805,420,1281,23
"457",1091,982,483,1604,16
"458",1014,794,356,1466,16
"459",3525,2739,1186,5144,69
"460",319,380,147,571,19
"461",250,308,119,456,17
"462",944,738,345,1350,15
"463",1589,971,398,2181,20
"464",4022,5366,2176,7367,161
"465",2169,2981,1250,3991,93
"466",311,481,203,611,23
"467",248,388,165,490,20
"468",499,780,304,1002,27
"469",624,807,360,1085,14
"470",650,771,335,1100,14
"471",1853,2385,926,3376,68
"472",174,343,101,429,13
"473",142,274,85,343,12
"474",326,473,196,613,11
"475",508,612,275,862,19
"476",798,862,324,1349,14
"477",1852,2300,871,3349,68
"478",952,1240,487,1742,37
"479",899,1060,384,1606,31
"480",6777,4664,2134,9473,169
"481",3602,2606,1265,5033,92
"482",119,80,28,182,11
"483",405,332,121,634,19
"484",330,280,102,519,12
"485",783,560,290,1074,22
"486",1115,833,434,1535,21
"487",1199,804,396,1624,17
"488",3175,2058,869,4440,77
"489",46,42,11,87,10
"490",248,231,77,415,13
"491",200,195,70,335,10
"492",875,573,271,1197,20
"493",1543,851,357,2060,24
"494",521,516,229,818,10
